시군구,센터명,읍면동,연락처,주소
합천군,율곡면사무소,율곡면,055-930-5554,(50243) 합천군 율곡면 영전3길 26
합천군,초계면사무소,초계면,055-930-5593,(50246) 합천군 초계면 초계중앙로 45
합천군,쌍책면사무소,쌍책면,055-930-5632,(50252) 합천군 쌍책면 성산큰길 48
합천군,덕곡면사무소,덕곡면,055-930-5672,(50248) 합천군 덕곡면 율지2길 11
합천군,청덕면사무소,청덕면,055-930-5712,(50253) 합천군 청덕면 동부로 1754
합천군,적중면사무소,적중면,055-930-5752,(50247) 합천군 적중면 적중로 98
합천군,대양면사무소,대양면,055-930-5792,(50240) 합천군 대양면 대한로 5
합천군,쌍백면사무소,쌍백면,055-930-5832,(50218) 합천군 쌍백면 쌍백중앙로 63
합천군,삼가면사무소,삼가면,055-930-5872,(50222) 합천군 삼가면 삼가중앙2길 12-8
합천군,가회면사무소,가회면,055-930-5912,(50226) 합천군 가회면 황매산로 52
합천군,대병면사무소,대병면,055-930-5952,(50216) 합천군 대병면 신성동길 23
합천군,용주면사무소,용주면,055-930-5992,(50213) 합천군 용주면 황계폭포로 1154
